captured_at_utc	image	os	arch	image_id	repo_digests	created	size_bytes	dockerfiles
2026-03-08T18:38:38Z	mcr.microsoft.com/dotnet/sdk:8.0	linux	amd64	sha256:bfb6ed602caa605141700aea7dc7d42574b74b704368e67d683c71a002123808	["mcr.microsoft.com/dotnet/sdk@sha256:bfb6ed602caa605141700aea7dc7d42574b74b704368e67d683c71a002123808"]	2026-02-24T20:33:04.119855208Z	316504447	\$REPO_ROOT/agentic/dotnet-demo/Dockerfile
2026-03-08T18:38:40Z	mcr.microsoft.com/dotnet/aspnet:8.0	linux	amd64	sha256:88c86e5469c2b69969e07343193fd3dbe4ff6936d95b994dbfa27348299af111	["mcr.microsoft.com/dotnet/aspnet@sha256:88c86e5469c2b69969e07343193fd3dbe4ff6936d95b994dbfa27348299af111"]	2026-02-24T20:32:25.328718104Z	90326093	\$REPO_ROOT/agentic/dotnet-demo/Dockerfile
2026-03-08T18:38:40Z	python:3.12-slim-bookworm	linux	amd64	sha256:73dbd1a2ad74137451593a8ac30f7bdd0f5010fc05fb34644190cffa7696bbf3	["python@sha256:73dbd1a2ad74137451593a8ac30f7bdd0f5010fc05fb34644190cffa7696bbf3"]	2026-02-04T20:24:52.208685531Z	45428944	\$REPO_ROOT/audio/Dockerfile
2026-03-08T18:38:40Z	rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.9.1	n/a	n/a	missing	[]	n/a	n/a	\$REPO_ROOT/audio/Dockerfile.voxtral.rocm,\$REPO_ROOT/qwen-image-edit/Dockerfile,\$REPO_ROOT/qwen-image/Dockerfile.qwen-image.rocm,\$REPO_ROOT/qwen-vl/Dockerfile.qwen-vl.rocm,\$REPO_ROOT/reconstruction-3d/Dockerfile.vggt,\$REPO_ROOT/stable-diffusion/Dockerfile,\$REPO_ROOT/vision-detection/Dockerfile
2026-03-08T18:38:49Z	ubuntu:24.04	linux	amd64	sha256:d1e2e92c075e5ca139d51a140fff46f84315c0fdce203eab2807c7e495eff4f9	["ubuntu@sha256:d1e2e92c075e5ca139d51a140fff46f84315c0fdce203eab2807c7e495eff4f9"]	2026-02-10T16:49:57.226767398Z	29737017	\$REPO_ROOT/llama-cpp-vulkan/Dockerfile,\$REPO_ROOT/llama-cpp-vulkan/Dockerfile,\$REPO_ROOT/llm-quantize/Dockerfile,\$REPO_ROOT/llm-quantize/Dockerfile
2026-03-08T18:38:58Z	python:3.11-slim-bookworm	linux	amd64	sha256:97b0eafb29f5ebfba254be840115b2f3bc24ff6ff3de9b905e04b74ee7227ba6	["python@sha256:97b0eafb29f5ebfba254be840115b2f3bc24ff6ff3de9b905e04b74ee7227ba6"]	2026-03-03T20:26:35.584953338Z	47705844	\$REPO_ROOT/llm-finetune/Dockerfile
2026-03-08T18:39:12Z	python:3.12-slim	linux	amd64	sha256:ccc7089399c8bb65dd1fb3ed6d55efa538a3f5e7fca3f5988ac3b5b87e593bf0	["python@sha256:ccc7089399c8bb65dd1fb3ed6d55efa538a3f5e7fca3f5988ac3b5b87e593bf0"]	2026-03-03T20:25:29.524279457Z	43202277	\$REPO_ROOT/vision-face/Dockerfile
