ts_utc	ctx_size	status	attempt_label	duration_s	port	gpu_layers	mem_limit	memory_swap	mem_reservation	max_tokens	log_path	watchdog_log	artifact_json	notes
2026-04-03T02:15:48Z	32768	ok	q4_gpu	60	8170	999	75g	75g	67g	256	reports/publish/gemma4_ctx_text/gemma4_ctx32768_q4_gpu.log	reports/publish/gemma4_ctx_text/gemma4_ctx32768_q4_gpu_watchdog.log	llama-cpp-vulkan/out/gemma4-ctx-text/gemma4_ctx32768_q4_gpu_2026-04-03.json	probe passed
2026-04-03T02:16:48Z	65536	ok	q4_gpu	60	8171	999	75g	75g	67g	256	reports/publish/gemma4_ctx_text/gemma4_ctx65536_q4_gpu.log	reports/publish/gemma4_ctx_text/gemma4_ctx65536_q4_gpu_watchdog.log	llama-cpp-vulkan/out/gemma4-ctx-text/gemma4_ctx65536_q4_gpu_2026-04-03.json	probe passed
2026-04-03T02:17:48Z	131072	ok	q4_gpu	60	8172	999	75g	75g	67g	256	reports/publish/gemma4_ctx_text/gemma4_ctx131072_q4_gpu.log	reports/publish/gemma4_ctx_text/gemma4_ctx131072_q4_gpu_watchdog.log	llama-cpp-vulkan/out/gemma4-ctx-text/gemma4_ctx131072_q4_gpu_2026-04-03.json	probe passed
2026-04-03T02:18:48Z	172032	ok	q4_gpu	60	8173	999	75g	75g	67g	256	reports/publish/gemma4_ctx_text/gemma4_ctx172032_q4_gpu.log	reports/publish/gemma4_ctx_text/gemma4_ctx172032_q4_gpu_watchdog.log	llama-cpp-vulkan/out/gemma4-ctx-text/gemma4_ctx172032_q4_gpu_2026-04-03.json	probe passed
2026-04-03T02:19:48Z	262144	ok	q4_gpu	60	8174	999	75g	75g	67g	256	reports/publish/gemma4_ctx_text/gemma4_ctx262144_q4_gpu.log	reports/publish/gemma4_ctx_text/gemma4_ctx262144_q4_gpu_watchdog.log	llama-cpp-vulkan/out/gemma4-ctx-text/gemma4_ctx262144_q4_gpu_2026-04-03.json	probe passed
