ts_utc	model_alias	ctx_size	status	duration_s	port	gpu_layers	mem_limit	memory_swap	mem_reservation	max_tokens	log_path	watchdog_log	artifact_json	notes
2026-03-08T15:35:01Z	qwen35_122b_a10b_q4km	131072	ok	120	8143	0	85g	85g	76g	128	reports/publish/qwen35_ctx_text/qwen35_122b_a10b_q4km_ctx131072.log	reports/publish/qwen35_ctx_text/qwen35_122b_a10b_q4km_ctx131072_watchdog.log	llama-cpp-vulkan/out/qwen35-ctx-text/qwen35_122b_a10b_q4km_ctx131072_2026-03-08.json	probe passed
2026-03-08T15:33:01Z	qwen35_27b_q8	131072	ok	90	8142	999	75g	75g	67g	256	reports/publish/qwen35_ctx_text/qwen35_27b_q8_ctx131072.log	reports/publish/qwen35_ctx_text/qwen35_27b_q8_ctx131072_watchdog.log	llama-cpp-vulkan/out/qwen35-ctx-text/qwen35_27b_q8_ctx131072_2026-03-08.json	probe passed
2026-03-08T15:31:31Z	qwen35_9b_q8	131072	ok	60	8141	999	75g	75g	67g	256	reports/publish/qwen35_ctx_text/qwen35_9b_q8_ctx131072.log	reports/publish/qwen35_ctx_text/qwen35_9b_q8_ctx131072_watchdog.log	llama-cpp-vulkan/out/qwen35-ctx-text/qwen35_9b_q8_ctx131072_2026-03-08.json	probe passed
2026-03-08T15:27:11Z	qwen35_9b_q8	65536	fail(1)	60	8141	999	75g	75g	67g	256	reports/publish/qwen35_ctx_text/qwen35_9b_q8_ctx65536.log	reports/publish/qwen35_ctx_text/qwen35_9b_q8_ctx65536_watchdog.log	llama-cpp-vulkan/out/qwen35-ctx-text/qwen35_9b_q8_ctx65536_2026-03-08.json	probe failed
2026-03-08T15:28:11Z	qwen35_9b_q8	32768	fail(1)	60	8141	999	75g	75g	67g	256	reports/publish/qwen35_ctx_text/qwen35_9b_q8_ctx32768.log	reports/publish/qwen35_ctx_text/qwen35_9b_q8_ctx32768_watchdog.log	llama-cpp-vulkan/out/qwen35-ctx-text/qwen35_9b_q8_ctx32768_2026-03-08.json	probe failed
